range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;6;2655;3677;65304.865;2.403316;1.657975;0.125843;0.123758;-0.1127087;0.05217407;0.003762512;0.1237291
0;6;3166;100;4.9387686;0.1080072;1.266725;0.1390748;0.1368066;0.06715698;0.0155188;0.002140503;0.1342308
0;6;3166;611;65318.298;0.410615;2.067982;0.1298185;0.1246775;-0.05070251;0.03030151;0.003762512;0.1215886
0;6;3166;1122;65246.355;0.7387524;2.034647;0.1240886;0.1006418;-0.06535095;0.06040161;0.003996582;0.09864548
0;6;3166;1633;65083.914;1.071291;2.024158;0.1218846;0.07559574;-0.07899658;0.06775879;0.003929749;0.07177261
0;6;3166;2144;64921.31;1.425317;2.042249;0.1325982;0.07208783;-0.06334472;0.0301001;0.005969848;0.06894653
0;6;3166;2655;64757.896;1.75366;2.025328;0.1343795;0.05347772;0.006622314;-0.05170532;0.002240906;0.04919739
0;6;3166;3166;64594.277;2.066832;1.993383;0.1299884;0.04286168;0.05551819;-0.08535156;0.003912964;0.03541809
0;6;3166;3677;64430.098;2.447873;2.020154;0.1379472;0.0343258;-0.03284302;-0.002875976;0.002207336;0.02352844
0;6;3677;100;64678.984;0.06746475;9.9E+037;0.1282152;0.0248339;0.001893005;9.9E+037;0.003210754;0.01006683
0;6;3677;611;64424.581;0.4131225;2.416579;0.127082;0.02981549;-0.04187317;-0.01752563;0.00364563;-0.002307739
0;6;3677;1122;64359.834;0.7498423;2.404892;0.130616;0.02543271;-0.04006714;-0.0101001;0.004431457;-0.011689
0;6;3677;1633;64199.621;1.088073;2.391565;0.1303571;0.05326152;-0.03250854;-0.01531738;0.003327637;-0.04695648
0;6;3677;2144;64039.259;1.42627;2.37731;0.1337859;0.05480888;-0.01946472;-0.02655517;0.003578491;-0.04969894
0;6;3677;2655;63878.086;1.753175;2.351369;0.1350288;0.07413041;0.01658875;-0.06902954;0.003394775;-0.07083618
